39500,126,3,95,60
N___,3700,1/,,,
_N__,3954,,1/,,
__N_,4138,,,1/,
N___,4284,1/,,,
_N__,4392,,1/,,
__N_,4500,,,1/,
N___,4646,1/,,,
_N__,4900,,1/,,
__N_,5084,,,1/,
N___,5230,1/,,,
_N__,5338,,1/,,
__N_,5446,,,1/,
N___,5592,1/,,,
_N__,5846,,1/,,
__N_,6030,,,1/,
N___,6176,1/,,,
_N__,6284,,1/,,
__N_,6392,,,1/,
N___,6538,1/,,,
_N__,6792,,1/,,
__N_,6976,,,1/,
N___,7122,1/,,,
_N__,7230,,1/,,
__N_,7338,,,1/,
N___,7484,1/,,,
_N__,7738,,1/,,
__N_,7922,,,1/,
N___,8068,1/,,,
_N__,8176,,1/,,
__N_,8284,,,1/,
N___,8430,1/,,,
_N__,8684,,1/,,
__N_,8868,,,1/,
N___,9014,1/,,,
_N__,9122,,1/,,
__N_,9230,,,1/,
N___,9376,1/,,,
_N__,9630,,1/,,
__N_,9814,,,1/,
N___,9960,1/,,,
_N__,10068,,1/,,
__N_,10176,,,1/,
N___,10322,1/,,,
_N__,10576,,1/,,
__N_,10760,,,1/,
N___,10906,1/,,,
_N__,11014,,1/,,
__N_,11122,,,1/,
N___,11268,1/,,,
_N__,11522,,1/,,
__N_,11706,,,1/,
N___,11852,1/,,,
_N__,11960,,1/,,
__N_,12068,,,1/,
N___,12214,1/,,,
_N__,12468,,1/,,
__N_,12652,,,1/,
N___,12798,1/,,,
_N__,12906,,1/,,
__N_,13014,,,1/,
N___,13160,1/,,,
_N__,13414,,1/,,
__N_,13598,,,1/,
N___,13744,1/,,,
_N__,13852,,1/,,
__N_,13960,,,1/,
N___,14106,1/,,,
_N__,14360,,1/,,
__N_,14544,,,1/,
N___,14690,1/,,,
_N__,14798,,1/,,
__N_,14906,,,1/,
N___,15052,1/,,,
_N__,15306,,1/,,
__N_,15490,,,1/,
N___,15636,1/,,,
_N__,15744,,1/,,
__N_,15852,,,1/,
N___,15998,1/,,,
_N__,16252,,1/,,
__N_,16436,,,1/,
N___,16582,1/,,,
_N__,16690,,1/,,
__N_,16798,,,1/,
___H,16798,,,,1/292/
___H,17820,,,,1/146/
___H,18112,,,,1/146/
N___,19188,1/,,,
N___,21086,1/,,,
_N__,22108,,1/,,
_N__,24006,,1/,,
__N_,25028,,,1/,
__N_,26926,,,1/,
___N,27948,,,,1/
___N,29846,,,,1/
