46500,138,3,92,60
N__H,-230,1/,,,1/300/
N___,208,1/,,,
N___,646,1/,,,
__H_,1134,,,1/169/,
___H,1352,,,,1/169/
N___,1550,1/,,,
N___,1958,1/,,,
N___,2396,1/,,,
N___,2834,1/,,,
N___,3034,1/,,,
N___,3234,1/,,,
N___,3672,1/,,,
N___,4110,1/,,,
__H_,4598,,,1/169/,
___H,4816,,,,1/169/
N___,5014,1/,,,
N___,5422,1/,,,
N___,5860,1/,,,
N___,6298,1/,,,
N___,6498,1/,,,
N___,6698,1/,,,
N___,7136,1/,,,
N___,7574,1/,,,
__H_,8062,,,1/169/,
___H,8280,,,,1/169/
N___,8478,1/,,,
N___,8886,1/,,,
N___,9324,1/,,,
N___,9762,1/,,,
N___,9962,1/,,,
N___,10162,1/,,,
N___,10600,1/,,,
N___,11038,1/,,,
__H_,11526,,,1/169/,
___H,11744,,,,1/169/
N___,11942,1/,,,
N___,12350,1/,,,
N___,12788,1/,,,
N___,13196,1/BadApple,,,
H___,13645,1/338/,,,
_H__,14521,,1/338/,,
H___,15397,1/338/,,,
__H_,16273,,,1/169/,
___H,16711,,,,1/169/
H___,17139,1/338/,,,
_H__,18015,,1/338/,,
H___,18891,1/338/,,,
___H,19767,,,,1/169/
__H_,20205,,,1/169/,
H___,20633,1/338/,,,
_H__,21509,,1/338/,,
H___,22385,1/338/,,,
__H_,23261,,,1/169/,
___H,23699,,,,1/169/
H___,24127,1/338/,,,
_H__,25003,,1/338/,,
H___,25879,1/338/,,,
_N__,26725,,1/,,
__N_,26871,,,1/,
___N,27017,,,,1/
___N,27163,,,,1/
__N_,27309,,,1/,
_N__,27455,,1/,,
H___,27551,1/338/,,,
_H__,28427,,1/338/,,
H___,29303,1/338/,,,
__H_,30169,,,1/169/,
___H,30607,,,,1/169/
H___,31045,1/338/,,,
_H__,31921,,1/338/,,
H___,32797,1/338/,,,
___H,33663,,,,1/169/
__H_,34101,,,1/169/,
H___,34539,1/338/,,,
_H__,35415,,1/338/,,
H___,36291,1/338/,,,
__H_,37157,,,1/169/,
___H,37595,,,,1/169/
H___,38033,1/338/,,,
_H__,38909,,1/338/,,
H___,39785,1/338/,,,
_N__,40651,,1/,,
__N_,40797,,,1/,
___N,40943,,,,1/
___N,41089,,,,1/
__N_,41235,,,1/,
_N__,41381,,1/,,
H___,41467,1/338/,,,
_H__,42343,,1/169/,,
H___,43219,1/338/,,,
_H__,44095,,1/169/,,
