101000,140,3,211,60
H___,-400,1/2700/,,,
_H__,2100,,1/900/,,
__H_,2900,,,1/1600/,
_H__,4400,,1/900/,,
H___,5200,1/900/,,,
___H,6100,,,,1/2800/
__H_,8800,,,1/900/,
_H__,9700,,1/2800/,,
H___,12200,1/800/,,,
___N,12990,,,,1/
N___,14770,1/,,,
_N__,15570,,1/,,
__N_,16370,,,1/,
N___,18990,1/,,,
_N__,19070,,1/,,
__N_,19480,,,1/,
___N,19880,,,,1/
N___,21490,1/,,,
_N__,22390,,1/,,
__N_,23290,,,1/,
N___,24930,1/,,,
_N__,25870,,1/,,
___N,26710,,,,1/
N___,28460,1/,,,
_N__,29260,,1/,,
__N_,30060,,,1/,
N___,32680,1/,,,
_N__,32760,,1/,,
__N_,33170,,,1/,
___N,33570,,,,1/
N___,35180,1/,,,
_N__,36080,,1/,,
__N_,36980,,,1/,
N___,38620,1/,,,
_N__,39560,,1/,,
__N_,39960,,,1/,
N___,40385,1/,,,
N___,40810,1/,,,
_N__,41235,,1/,,
_N__,41660,,1/,,
N___,42085,1/,,,
N___,42510,1/,,,
_N__,42935,,1/,,
_N__,43360,,1/,,
N___,43785,1/,,,
N___,44210,1/,,,
_N__,44635,,1/,,
_N__,45060,,1/,,
N___,45485,1/,,,
N___,45910,1/,,,
_N__,46335,,1/,,
_N__,46760,,1/,,
N___,47190,1/,,,
_N__,47403,,1/,,
N___,47616,1/,,,
_N__,47829,,1/,,
N___,48042,1/,,,
_N__,48255,,1/,,
N___,48468,1/,,,
_N__,48681,,1/,,
N___,48894,1/,,,
_N__,49107,,1/,,
N___,49320,1/,,,
_N__,49533,,1/,,
N___,49746,1/,,,
_N__,49959,,1/,,
N___,50172,1/,,,
_N__,50385,,1/,,
H___,50603,1/213/,,,
_H__,51028,,1/213/,,
H___,51453,1/213/,,,
_H__,51878,,1/213/,,
H___,52303,1/213/,,,
_H__,52728,,1/213/,,
H___,53153,1/213/,,,
_H__,53578,,1/213/,,
N___,54003,1/,,,
N___,54438,1/,,,
_N__,54651,,1/,,
N___,54864,1/,,,
N___,55279,1/,,,
_N__,55492,,1/,,
N___,55705,1/,,,
_N__,55918,,1/,,
N___,56131,1/,,,
_N__,56344,,1/,,
N___,56557,1/,,,
_N__,56770,,1/,,
N___,56983,1/,,,
_N__,57196,,1/,,
N___,57409,1/,,,
N___,57844,1/,,,
_N__,58057,,1/,,
N___,58270,1/,,,
N___,58685,1/,,,
_N__,58898,,1/,,
N___,59111,1/,,,
_N__,59324,,1/,,
N___,59537,1/,,,
_N__,59750,,1/,,
N___,59963,1/,,,
_N__,60176,,1/,,
N___,60389,1/,,,
_N__,60602,,1/,,
N___,60825,1/,,,
N___,61260,1/,,,
_N__,61473,,1/,,
N___,61686,1/,,,
N___,62101,1/,,,
_N__,62314,,1/,,
N___,62527,1/,,,
_N__,62740,,1/,,
N___,62953,1/,,,
_N__,63166,,1/,,
N___,63379,1/,,,
_N__,63592,,1/,,
N___,63805,1/,,,
_N__,64018,,1/,,
N___,64231,1/,,,
N___,64666,1/,,,
_N__,64879,,1/,,
N___,65092,1/,,,
N___,65507,1/,,,
_N__,65720,,1/,,
N___,65933,1/,,,
_N__,66146,,1/,,
N___,66359,1/,,,
_N__,66572,,1/,,
N___,66785,1/,,,
_N__,66998,,1/,,
N___,67211,1/,,,
_N__,67424,,1/,,
_H__,67870,,1/162/,,
__H_,68082,,,1/163/,
_H__,68295,,1/589/,,
__H_,68934,,,1/56/,
_H__,69040,,1/56/,,
__H_,69146,,,1/163/,
_H__,69572,,1/376/,,
__H_,69998,,,1/163/,
_H__,70211,,1/375/,,
H___,70636,1/163/,,,
_H__,70849,,1/163/,,
_H__,71315,,1/162/,,
__H_,71527,,,1/163/,
_H__,71740,,1/589/,,
__H_,72379,,,1/56/,
_H__,72485,,1/56/,,
__H_,72591,,,1/163/,
_H__,72804,,1/800/,,
__H_,73654,,,1/589/,
___H,74293,,,,1/163/
_H__,74759,,1/162/,,
__H_,74971,,,1/163/,
_H__,75184,,1/589/,,
__H_,75823,,,1/56/,
_H__,75929,,1/56/,,
__H_,76035,,,1/163/,
___H,76354,,,,1/375/
__H_,76779,,,1/163/,
_H__,76992,,1/56/,,
H___,77098,1/375/,,,
_N__,77773,,1/,,
_H__,78095,,1/162/,,
__H_,78307,,,1/163/,
_H__,78520,,1/589/,,
__H_,79159,,,1/56/,
_H__,79265,,1/56/,,
__H_,79371,,,1/163/,
H___,79624,1/589/,,,
_H__,80263,,1/163/,,
__H_,80476,,,1/56/,
___H,80582,,,,1/375/
__H_,81007,,,1/163/,
