101000,210,3,100
node,300,1,1
node,725,1,1
node,938,2,1
node,1151,1,1
node,1576,1,1
node,1789,2,1
node,2002,1,1
node,2215,2,1
node,2428,1,1
node,2641,2,1
node,2854,1,1
node,3067,2,1
node,3280,1,1
node,3493,2,1
node,3701,1,1
node,4126,1,1
node,4339,2,1
node,4552,1,1
node,4977,1,1
node,5190,2,1
node,5403,1,1
node,5616,2,1
node,5829,1,1
node,6042,2,1
node,6255,1,1
node,6468,2,1
node,6681,1,1
node,6894,2,1
node,7102,1,1
node,7527,1,1
node,7740,2,1
node,7953,1,1
node,8378,1,1
node,8591,2,1
node,8804,1,1
node,9017,2,1
node,9230,1,1
node,9443,2,1
node,9656,1,1
node,9869,2,1
node,10082,1,1
node,10295,2,1
node,10503,1,1
node,10928,1,1
node,11141,2,1
node,11354,1,1
node,11779,1,1
node,11992,2,1
node,12205,1,1
node,12418,2,1
node,12631,1,1
node,12844,2,1
node,13057,1,1
node,13270,2,1
node,13483,1,1
node,13696,2,1
hold,14157,2,1,162
hold,14369,3,1,163
hold,14582,2,1,589
hold,15221,3,1,56
hold,15327,2,1,56
hold,15433,3,1,163
hold,15859,2,1,376
hold,16285,3,1,163
hold,16498,2,1,375
hold,16923,1,1,163
hold,17136,2,1,163
hold,17602,2,1,162
hold,17814,3,1,163
hold,18027,2,1,589
hold,18666,3,1,56
hold,18772,2,1,56
hold,18878,3,1,163
hold,19091,2,1,800
hold,19941,3,1,589
hold,20580,4,1,163
hold,21046,2,1,162
hold,21258,3,1,163
hold,21471,2,1,589
hold,22110,3,1,56
hold,22216,2,1,56
hold,22322,3,1,163
hold,22641,4,1,375
hold,23066,3,1,163
hold,23279,2,1,56
hold,23385,1,1,375
node,24060,2,1
hold,24382,2,1,162
hold,24594,3,1,163
hold,24807,2,1,589
hold,25446,3,1,56
hold,25552,2,1,56
hold,25658,3,1,163
hold,25911,1,1,589
hold,26550,2,1,163
hold,26763,3,1,56
hold,26869,4,1,375
hold,27294,3,1,163
hold,27932,2,1,162
hold,28144,3,1,163
hold,28357,2,1,589
hold,28996,2,1,56
hold,29102,3,1,163
hold,29315,4,1,375
hold,29740,3,1,163
hold,29953,2,1,56
hold,30059,1,1,375
node,30684,2,1
hold,31112,2,1,162
hold,31324,3,1,163
hold,31537,2,1,589
hold,32176,2,1,56
hold,32282,3,1,163
hold,32601,2,1,800
hold,33451,3,1,589
hold,34090,4,1,163
hold,34556,2,1,162
hold,34768,3,1,163
hold,34981,2,1,589
hold,35620,2,1,56
hold,35726,3,1,163
hold,36151,4,1,375
hold,36576,3,1,163
hold,36789,2,1,56
hold,36895,1,1,375
node,37570,2,1
hold,37892,2,1,162
hold,38104,3,1,163
hold,38317,2,1,589
hold,38956,2,1,56
hold,39062,3,1,163
hold,39515,3,1,376
hold,39940,2,1,589
hold,40152,1,1,589
hold,40791,2,1,375
