104200,112,4,199,120
N___,10650,1/,,,
_N__,11050,,1/,,
__N_,11263,,,1/,
N___,11608,1/,,,
_N__,11927,,1/,,
N___,12114,1/,,,
_N__,12487,,1/,,
__H_,12753,,,1/400/,
N___,13498,1/,,,
_N__,13898,,1/,,
__N_,14111,,,1/,
N___,14456,1/,,,
_N__,14775,,1/,,
N___,14962,1/,,,
_N__,15335,,1/,,
__N_,15667,,,1/,
N___,16012,1/,,,
N___,16346,1/,,,
_N__,16746,,1/,,
__N_,16959,,,1/,
N___,17304,1/,,,
_N__,17623,,1/,,
N___,17810,1/,,,
_N__,18183,,1/,,
__H_,18449,,,1/400/,
N___,19194,1/,,,
_N__,19594,,1/,,
__N_,19807,,,1/,
N___,20152,1/,,,
_N__,20471,,1/,,
N___,20658,1/,,,
_N__,21031,,1/,,
__N_,21363,,,1/,
N___,21708,1/,,,
H___,22042,1/178/,,,
__H_,22399,,,1/178/,
H___,22756,1/178/,,,
__H_,23113,,,1/178/,
H___,23470,1/178/,,,
__H_,23827,,,1/178/,
__H_,24184,,,1/178/,
H___,24541,1/178/,,,
H___,24898,1/178/,,,
__H_,25255,,,1/178/,
H___,25612,1/178/,,,
__H_,25969,,,1/178/,
H___,26326,1/178/,,,
__H_,26683,,,1/178/,
__H_,27040,,,1/178/,
___N,27415,,,,1/
H___,27739,1/178/,,,
__H_,28096,,,1/178/,
H___,28453,1/178/,,,
__H_,28810,,,1/178/,
H___,29167,1/178/,,,
__H_,29524,,,1/178/,
__H_,29881,,,1/178/,
H___,30238,1/178/,,,
H___,30595,1/178/,,,
__H_,30952,,,1/178/,
H___,31309,1/178/,,,
__H_,31666,,,1/178/,
H___,32023,1/178/,,,
__H_,32380,,,1/178/,
N___,32763,1/,,,
__N_,32963,,,1/,
N___,33141,1/,,,
__N_,33341,,,1/,
H___,33497,1/357/,,,
_N__,33854,,1/,,
__N_,33966,,,1/,
N___,34244,1/,,,
_N__,34411,,1/,,
__N_,34589,,,1/,
H___,34990,1/268/,,,
_N__,35303,,1/,,
__N_,35459,,,1/,
H___,35726,1/268/,,,
_N__,36039,,1/,,
__N_,36195,,,1/,
N___,36752,1/,,,
N___,37466,1/,,,
N___,38180,1/,,,
___N,38872,,,,1/
H___,39251,1/178/,,,
__H_,39609,,,1/178/,
H___,39967,1/178/,,,
__H_,40325,,,1/178/,
H___,40683,1/178/,,,
__H_,41041,,,1/178/,
__H_,41399,,,1/178/,
H___,41757,1/178/,,,
H___,42115,1/178/,,,
__H_,42473,,,1/178/,
H___,42831,1/178/,,,
__H_,43189,,,1/178/,
H___,43547,1/178/,,,
__H_,43905,,,1/178/,
__H_,44263,,,1/178/,
___H,44621,,,,1/89/
H___,44957,1/178/,,,
__N_,45270,,,1/,
__N_,45538,,,1/,
H___,46342,1/178/,,,
__N_,46655,,,1/,
__N_,46923,,,1/,
__N_,47727,,,1/,
N___,48129,1/,,,
N___,49134,1/,,,
__N_,49536,,,1/,
H___,50675,1/178/,,,
__N_,50988,,,1/,
__N_,51256,,,1/,
H___,52060,1/178/,,,
__N_,52373,,,1/,
__N_,52641,,,1/,
__N_,53445,,,1/,
N___,53847,1/,,,
N___,54852,1/,,,
__N_,55254,,,1/,
___N,56259,,,,1/
___N,57683,,,,1/
___N,59107,,,,1/
___N,60887,,,,1/
___N,61243,,,,1/
___N,61599,,,,1/
___N,61955,,,,1/
___N,62667,,,,1/
___N,63379,,,,1/
___N,64091,,,,1/
___H,66227,,,,1/1324/
N___,67829,1/,,,
_N__,68229,,1/,,
__N_,68442,,,1/,
N___,68787,1/,,,
_N__,69106,,1/,,
N___,69293,1/,,,
_N__,69666,,1/,,
__H_,69932,,,1/400/,
N___,70677,1/,,,
_N__,71077,,1/,,
__N_,71290,,,1/,
N___,71635,1/,,,
_N__,71954,,1/,,
N___,72141,1/,,,
_N__,72514,,1/,,
__N_,72846,,,1/,
N___,73191,1/,,,
N___,73525,1/,,,
_N__,73925,,1/,,
__N_,74138,,,1/,
N___,74483,1/,,,
_N__,74802,,1/,,
N___,74989,1/,,,
_N__,75362,,1/,,
__H_,75628,,,1/400/,
N___,76373,1/,,,
_N__,76773,,1/,,
__N_,76986,,,1/,
N___,77331,1/,,,
_N__,77650,,1/,,
N___,77837,1/,,,
_N__,78210,,1/,,
__N_,78542,,,1/,
N___,78887,1/,,,
N___,79221,1/,,,
_N__,79621,,1/,,
__N_,79834,,,1/,
N___,80179,1/,,,
_N__,80498,,1/,,
N___,80685,1/,,,
_N__,81058,,1/,,
__H_,81324,,,1/400/,
N___,82069,1/,,,
_N__,82469,,1/,,
__N_,82682,,,1/,
N___,83027,1/,,,
_N__,83346,,1/,,
N___,83533,1/,,,
_N__,83906,,1/,,
__N_,84238,,,1/,
N___,84583,1/,,,
N___,84917,1/,,,
_N__,85317,,1/,,
__N_,85530,,,1/,
N___,85875,1/,,,
_N__,86194,,1/,,
N___,86381,1/,,,
_N__,86754,,1/,,
__H_,87020,,,1/400/,
N___,87765,1/,,,
_N__,88165,,1/,,
__N_,88378,,,1/,
N___,88723,1/,,,
_N__,89042,,1/,,
N___,89229,1/,,,
_N__,89602,,1/,,
__N_,89934,,,1/,
N___,90279,1/,,,
