12817,142,6,93,120
___N,-468,,,,1/
__N_,-404,,,1/,
___N,-196,,,,1/
N___,-164,1/,,,
___N,4,,,,1/
_N__,44,,1/,,
___N,140,,,,1/
__N_,436,,,1/,
_N__,548,,1/,,
___N,660,,,,1/
___N,996,,,,1/
_N__,1060,,1/,,
__N_,1260,,,1/,
_N__,1580,,1/,,
___N,1676,,,,1/
_N__,1756,,1/,,
___N,1860,,,,1/
__N_,1916,,,1/,
___N,2148,,,,1/
__N_,2276,,,1/,
_N__,2388,,1/,,
___N,2468,,,,1/
_N__,2668,,1/,,
___N,2788,,,,1/
__N_,3084,,,1/,
N___,3276,1/,,,
___N,3396,,,,1/
__N_,3484,,,1/,
_N__,3604,,1/,,
___N,3700,,,,1/
_N__,3916,,1/,,
___N,3972,,,,1/
__N_,4100,,,1/,
_N__,4204,,1/,,
___N,4308,,,,1/
_N__,4396,,1/,,
__N_,4500,,,1/,
___N,4716,,,,1/
_N__,4812,,1/,,
___N,4908,,,,1/
__N_,5004,,,1/,
_N__,5124,,1/,,
__N_,5220,,,1/,
_N__,5316,,1/,,
___N,5396,,,,1/
_N__,5572,,1/,,
___N,5732,,,,1/
_N__,5916,,1/,,
__N_,6124,,,1/,
N___,6332,1/,,,
___N,6492,,,,1/
_N__,6540,,1/,,
___N,6628,,,,1/
__N_,6924,,,1/,
_N__,7036,,1/,,
___N,7156,,,,1/
_N__,7548,,1/,,
__N_,7748,,,1/,
_N__,8052,,1/,,
___N,8156,,,,1/
_N__,8252,,1/,,
___N,8356,,,,1/
__N_,8428,,,1/,
___N,8604,,,,1/
__N_,8764,,,1/,
_N__,8868,,1/,,
___N,8956,,,,1/
_N__,9164,,1/,,
___N,9276,,,,1/
__N_,9572,,,1/,
N___,9772,1/,,,
__N_,9844,,,1/,
___N,9884,,,,1/
__N_,9980,,,1/,
_N__,10084,,1/,,
___N,10188,,,,1/
_N__,10428,,1/,,
___N,10460,,,,1/
__N_,10588,,,1/,
_N__,10692,,1/,,
___N,10796,,,,1/
_N__,10892,,1/,,
__N_,10996,,,1/,
___N,11204,,,,1/
_N__,11300,,1/,,
___N,11404,,,,1/
__N_,11468,,,1/,
_N__,11620,,1/,,
__N_,11716,,,1/,
_N__,11804,,1/,,
___N,11884,,,,1/
_N__,12004,,1/,,
___N,12220,,,,1/
