118600,246,0,448,60
N___,60,1/,,,
_H__,304,,1/500/,,
N___,548,1/,,,
_H__,792,,1/500/,,
N___,1036,1/,,,
_H__,1280,,1/500/,,
N___,1524,1/,,,
_H__,1768,,1/500/,,
N___,2012,1/,,,
_H__,2256,,1/500/,,
N___,2500,1/,,,
_H__,2743,,1/500/,,
N___,2987,1/,,,
_H__,3231,,1/500/,,
N___,3475,1/,,,
_H__,3719,,1/500/,,
N___,3963,1/,,,
_H__,4207,,1/500/,,
N___,4451,1/,,,
_H__,4695,,1/500/,,
N___,4939,1/,,,
_H__,5182,,1/500/,,
N___,5426,1/,,,
_H__,5670,,1/500/,,
N___,5914,1/,,,
_H__,6158,,1/500/,,
N___,6402,1/,,,
_H__,6646,,1/500/,,
N___,6890,1/,,,
_H__,7134,,1/500/,,
N___,7378,1/,,,
_H__,7621,,1/500/,,
N___,7865,1/,,,
_H__,8109,,1/500/,,
N___,8353,1/,,,
_H__,8597,,1/500/,,
N___,8841,1/,,,
_H__,9085,,1/500/,,
N___,9329,1/,,,
_H__,9573,,1/500/,,
N___,9817,1/,,,
_H__,10060,,1/500/,,
N___,10304,1/,,,
_H__,10548,,1/500/,,
N___,10792,1/,,,
_H__,11036,,1/500/,,
N___,11280,1/,,,
_H__,11524,,1/500/,,
N___,11768,1/,,,
_H__,12012,,1/500/,,
N___,12256,1/,,,
_H__,12500,,1/500/,,
N___,12743,1/,,,
_H__,12987,,1/500/,,
N___,13231,1/,,,
_H__,13475,,1/500/,,
N___,13719,1/,,,
_H__,13963,,1/500/,,
N___,14207,1/,,,
_H__,14451,,1/500/,,
N___,14695,1/,,,
_H__,14939,,1/500/,,
N___,15182,1/,,,
_H__,15426,,1/500/,,
N___,15670,1/,,,
_H__,15914,,1/500/,,
N___,16158,1/,,,
_H__,16402,,1/500/,,
N___,16646,1/,,,
_H__,16890,,1/500/,,
N___,17134,1/,,,
_H__,17378,,1/500/,,
N___,17621,1/,,,
_H__,17865,,1/500/,,
N___,18109,1/,,,
_H__,18353,,1/500/,,
N___,18597,1/,,,
_H__,18841,,1/500/,,
N___,19085,1/,,,
_H__,19329,,1/500/,,
N___,19573,1/,,,
_H__,19817,,1/500/,,
N___,20060,1/,,,
_H__,20304,,1/500/,,
N___,20548,1/,,,
_H__,20792,,1/500/,,
N___,21036,1/,,,
_H__,21280,,1/500/,,
N___,21524,1/,,,
_H__,21768,,1/500/,,
N___,22012,1/,,,
_H__,22256,,1/500/,,
N___,22500,1/,,,
_H__,22743,,1/500/,,
N___,22987,1/,,,
_H__,23231,,1/500/,,
N___,23475,1/,,,
_H__,23719,,1/500/,,
N___,23963,1/,,,
_H__,24207,,1/500/,,
N___,24451,1/,,,
_H__,24695,,1/500/,,
N___,24939,1/,,,
_H__,25182,,1/500/,,
N___,25426,1/,,,
_H__,25670,,1/500/,,
N___,25914,1/,,,
_H__,26158,,1/500/,,
N___,26402,1/,,,
_H__,26646,,1/500/,,
N___,26890,1/,,,
_H__,27134,,1/500/,,
N___,27378,1/,,,
_H__,27621,,1/500/,,
N___,27865,1/,,,
_H__,28109,,1/500/,,
N___,28353,1/,,,
_H__,28597,,1/500/,,
N___,28841,1/,,,
_H__,29085,,1/500/,,
N___,29329,1/,,,
_H__,29573,,1/500/,,
N___,29817,1/,,,
_H__,30060,,1/500/,,
N___,30304,1/,,,
_H__,30548,,1/500/,,
N___,30792,1/,,,
_H__,31036,,1/500/,,
N___,31280,1/,,,
_H__,31524,,1/500/,,
N___,31768,1/,,,
_H__,32012,,1/500/,,
N___,32256,1/,,,
_H__,32500,,1/500/,,
N___,32743,1/,,,
_H__,32987,,1/500/,,
N___,33231,1/,,,
_H__,33475,,1/500/,,
N___,33719,1/,,,
_H__,33963,,1/500/,,
N___,34207,1/,,,
_H__,34451,,1/500/,,
N___,34695,1/,,,
_H__,34939,,1/500/,,
N___,35182,1/,,,
_H__,35426,,1/500/,,
N___,35670,1/,,,
_H__,35914,,1/500/,,
N___,36158,1/,,,
_H__,36402,,1/500/,,
N___,36646,1/,,,
_H__,36890,,1/500/,,
N___,37134,1/,,,
_H__,37378,,1/500/,,
N___,37621,1/,,,
_H__,37865,,1/500/,,
N___,38109,1/,,,
_H__,38353,,1/500/,,
N___,38597,1/,,,
_H__,38841,,1/500/,,
N___,39085,1/,,,
_H__,39329,,1/500/,,
N___,39573,1/,,,
_H__,39817,,1/500/,,
N___,40060,1/,,,
_H__,40304,,1/500/,,
N___,40548,1/,,,
_H__,40792,,1/500/,,
N___,41036,1/,,,
_H__,41280,,1/500/,,
N___,41524,1/,,,
_H__,41768,,1/500/,,
N___,42012,1/,,,
_H__,42256,,1/500/,,
N___,42500,1/,,,
_H__,42743,,1/500/,,
N___,42987,1/,,,
_H__,43231,,1/500/,,
N___,43475,1/,,,
_H__,43719,,1/500/,,
N___,43963,1/,,,
_H__,44207,,1/500/,,
N___,44451,1/,,,
_H__,44695,,1/500/,,
N___,44939,1/,,,
_H__,45182,,1/500/,,
N___,45426,1/,,,
_H__,45670,,1/500/,,
N___,45914,1/,,,
_H__,46158,,1/500/,,
N___,46402,1/,,,
_H__,46646,,1/500/,,
N___,46890,1/,,,
_H__,47134,,1/500/,,
N___,47378,1/,,,
_H__,47621,,1/500/,,
N___,47865,1/,,,
_H__,48109,,1/500/,,
N___,48353,1/,,,
_H__,48597,,1/500/,,
N___,48841,1/,,,
_H__,49085,,1/500/,,
N___,49329,1/,,,
_H__,49573,,1/500/,,
N___,49817,1/,,,
_H__,50060,,1/500/,,
N___,50304,1/,,,
_H__,50548,,1/500/,,
N___,50792,1/,,,
_H__,51036,,1/500/,,
N___,51280,1/,,,
_H__,51524,,1/500/,,
N___,51768,1/,,,
_H__,52012,,1/500/,,
N___,52256,1/,,,
_H__,52500,,1/500/,,
N___,52743,1/,,,
_H__,52987,,1/500/,,
N___,53231,1/,,,
_H__,53475,,1/500/,,
N___,53719,1/,,,
_H__,53963,,1/500/,,
N___,54207,1/,,,
_H__,54451,,1/500/,,
N___,54695,1/,,,
_H__,54939,,1/500/,,
N___,55182,1/,,,
_H__,55426,,1/500/,,
N___,55670,1/,,,
_H__,55914,,1/500/,,
N___,56158,1/,,,
_H__,56402,,1/500/,,
N___,56646,1/,,,
_H__,56890,,1/500/,,
N___,57134,1/,,,
_H__,57378,,1/500/,,
N___,57621,1/,,,
_H__,57865,,1/500/,,
N___,58109,1/,,,
_H__,58353,,1/500/,,
N___,58597,1/,,,
_H__,58841,,1/500/,,
N___,59085,1/,,,
_H__,59329,,1/500/,,
N___,59573,1/,,,
_H__,59817,,1/500/,,
N___,60060,1/,,,
_H__,60304,,1/500/,,
N___,60548,1/,,,
_H__,60792,,1/500/,,
N___,61036,1/,,,
_H__,61280,,1/500/,,
N___,61524,1/,,,
_H__,61768,,1/500/,,
N___,62012,1/,,,
_H__,62256,,1/500/,,
N___,62500,1/,,,
_H__,62743,,1/500/,,
N___,62987,1/,,,
_H__,63231,,1/500/,,
N___,63475,1/,,,
_H__,63719,,1/500/,,
N___,63963,1/,,,
_H__,64207,,1/500/,,
N___,64451,1/,,,
_H__,64695,,1/500/,,
N___,64939,1/,,,
_H__,65182,,1/500/,,
N___,65426,1/,,,
_H__,65670,,1/500/,,
N___,65914,1/,,,
_H__,66158,,1/500/,,
N___,66402,1/,,,
_H__,66646,,1/500/,,
N___,66890,1/,,,
_H__,67134,,1/500/,,
N___,67378,1/,,,
_H__,67621,,1/500/,,
N___,67865,1/,,,
_H__,68109,,1/500/,,
N___,68353,1/,,,
_H__,68597,,1/500/,,
N___,68841,1/,,,
_H__,69085,,1/500/,,
N___,69329,1/,,,
_H__,69573,,1/500/,,
N___,69817,1/,,,
_H__,70060,,1/500/,,
N___,70304,1/,,,
_H__,70548,,1/500/,,
N___,70792,1/,,,
_H__,71036,,1/500/,,
N___,71280,1/,,,
_H__,71524,,1/500/,,
N___,71768,1/,,,
_H__,72012,,1/500/,,
N___,72256,1/,,,
_H__,72500,,1/500/,,
N___,72743,1/,,,
_H__,72987,,1/500/,,
N___,73231,1/,,,
_H__,73475,,1/500/,,
N___,73719,1/,,,
_H__,73963,,1/500/,,
N___,74207,1/,,,
_H__,74451,,1/500/,,
N___,74695,1/,,,
_H__,74939,,1/500/,,
N___,75182,1/,,,
_H__,75426,,1/500/,,
N___,75670,1/,,,
_H__,75914,,1/500/,,
N___,76158,1/,,,
_H__,76402,,1/500/,,
N___,76646,1/,,,
_H__,76890,,1/500/,,
N___,77134,1/,,,
_H__,77378,,1/500/,,
N___,77621,1/,,,
_H__,77865,,1/500/,,
N___,78109,1/,,,
_H__,78353,,1/500/,,
N___,78597,1/,,,
_H__,78841,,1/500/,,
N___,79085,1/,,,
_H__,79329,,1/500/,,
N___,79573,1/,,,
_H__,79817,,1/500/,,
N___,80060,1/,,,
_H__,80304,,1/500/,,
N___,80548,1/,,,
_H__,80792,,1/500/,,
N___,81036,1/,,,
_H__,81280,,1/500/,,
N___,81524,1/,,,
_H__,81768,,1/500/,,
N___,82012,1/,,,
_H__,82256,,1/500/,,
N___,82500,1/,,,
_H__,82743,,1/500/,,
N___,82987,1/,,,
_H__,83231,,1/500/,,
N___,83475,1/,,,
_H__,83719,,1/500/,,
N___,83963,1/,,,
_H__,84207,,1/500/,,
N___,84451,1/,,,
_H__,84695,,1/500/,,
N___,84939,1/,,,
_H__,85182,,1/500/,,
N___,85426,1/,,,
_H__,85670,,1/500/,,
N___,85914,1/,,,
_H__,86158,,1/500/,,
N___,86402,1/,,,
_H__,86646,,1/500/,,
N___,86890,1/,,,
_H__,87134,,1/500/,,
N___,87378,1/,,,
_H__,87621,,1/500/,,
N___,87865,1/,,,
_H__,88109,,1/500/,,
N___,88353,1/,,,
_H__,88597,,1/500/,,
N___,88841,1/,,,
_H__,89085,,1/500/,,
N___,89329,1/,,,
_H__,89573,,1/500/,,
N___,89817,1/,,,
_H__,90060,,1/500/,,
N___,90304,1/,,,
_H__,90548,,1/500/,,
N___,90792,1/,,,
_H__,91036,,1/500/,,
N___,91280,1/,,,
_H__,91524,,1/500/,,
N___,91768,1/,,,
_H__,92012,,1/500/,,
N___,92256,1/,,,
_H__,92500,,1/500/,,
N___,92743,1/,,,
_H__,92987,,1/500/,,
N___,93231,1/,,,
_H__,93475,,1/500/,,
N___,93719,1/,,,
_H__,93963,,1/500/,,
N___,94207,1/,,,
_H__,94451,,1/500/,,
N___,94695,1/,,,
_H__,94939,,1/500/,,
N___,95182,1/,,,
_H__,95426,,1/500/,,
N___,95670,1/,,,
_H__,95914,,1/500/,,
N___,96158,1/,,,
_H__,96402,,1/500/,,
N___,96646,1/,,,
_H__,96890,,1/500/,,
N___,97134,1/,,,
_H__,97378,,1/500/,,
N___,97621,1/,,,
_H__,97865,,1/500/,,
N___,98109,1/,,,
_H__,98353,,1/500/,,
N___,98597,1/,,,
_H__,98841,,1/500/,,
N___,99085,1/,,,
_H__,99329,,1/500/,,
N___,99573,1/,,,
_H__,99817,,1/500/,,
N___,100060,1/,,,
_H__,100304,,1/500/,,
N___,100548,1/,,,
_H__,100792,,1/500/,,
N___,101036,1/,,,
_H__,101280,,1/500/,,
N___,101524,1/,,,
_H__,101768,,1/500/,,
N___,102012,1/,,,
_H__,102256,,1/500/,,
N___,102500,1/,,,
_H__,102743,,1/500/,,
N___,102987,1/,,,
_H__,103231,,1/500/,,
N___,103475,1/,,,
_H__,103719,,1/500/,,
N___,103963,1/,,,
_H__,104207,,1/500/,,
N___,104451,1/,,,
_H__,104695,,1/500/,,
N___,104939,1/,,,
_H__,105182,,1/500/,,
N___,105426,1/,,,
_H__,105670,,1/500/,,
N___,105914,1/,,,
_H__,106158,,1/500/,,
N___,106402,1/,,,
_H__,106646,,1/500/,,
N___,106890,1/,,,
_H__,107134,,1/500/,,
N___,107378,1/,,,
_H__,107621,,1/500/,,
N___,107865,1/,,,
_H__,108109,,1/500/,,
N___,108353,1/,,,
_H__,108597,,1/500/,,
N___,108841,1/,,,
_H__,109085,,1/500/,,
